City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
93,paracuru,-3.41,-39.0306,301.54,54,82,6.57,BR,Mon Oct  2 10:52:05 2023
94,afaahiti,-17.75,-149.2833,296.08,88,73,8.46,PF,Mon Oct  2 10:52:05 2023
95,maragogi,-9.0122,-35.2225,300.62,61,2,4.41,BR,Mon Oct  2 10:52:05 2023
96,sisimiut,66.9395,-53.6735,276.17,57,95,1.49,GL,Mon Oct  2 10:52:05 2023
97,colonia,50.9333,6.95,302.57,52,0,2.57,DE,Mon Oct  2 10:52:05 2023
98,sao jose da coroa grande,-8.8978,-35.1478,300.88,59,2,4.06,BR,Mon Oct  2 10:52:06 2023
99,arica,-18.475,-70.3042,292.28,72,100,3.09,CL,Mon Oct  2 10:52:06 2023
100,mandasa,18.8667,84.4667,300.18,91,100,3.63,IN,Mon Oct  2 10:52:06 2023
101,arno,60.1167,18.6333,286.36,89,100,3.72,SE,Mon Oct  2 10:52:06 2023
102,mastic beach,40.7668,-72.8521,295.43,78,0,4.47,US,Mon Oct  2 10:52:06 2023
103,arteche,12.2645,125.4048,300.7,77,93,4.59,PH,Mon Oct  2 10:52:06 2023
104,longyearbyen,78.2186,15.6401,271.06,64,75,8.75,SJ,Mon Oct  2 10:52:06 2023
105,ishigaki,24.3448,124.1572,301.22,78,100,9.77,JP,Mon Oct  2 10:52:06 2023
106,igarka,67.4667,86.5833,273.32,98,100,9.55,RU,Mon Oct  2 10:52:06 2023
107,hithadhoo,-0.6,73.0833,301.3,73,7,5.67,MV,Mon Oct  2 10:52:07 2023
108,kirkwall,58.9848,-2.9587,286.18,82,75,3.09,GB,Mon Oct  2 10:52:07 2023
109,sola,-13.8833,167.55,298.8,83,96,11.67,VU,Mon Oct  2 10:52:07 2023
110,puerto baquerizo moreno,-0.9,-89.6,296.7,88,75,4.63,EC,Mon Oct  2 10:52:07 2023
111,illizi,26.4833,8.4667,309.04,13,1,5.26,DZ,Mon Oct  2 10:52:07 2023
112,bilibino,68.0546,166.4372,268.68,100,98,1.52,RU,Mon Oct  2 10:52:07 2023
113,guerrero negro,27.9769,-114.0611,292.32,60,39,7.18,MX,Mon Oct  2 10:52:07 2023
114,susuman,62.7833,148.1667,271.47,82,10,1.34,RU,Mon Oct  2 10:52:07 2023
115,isafjordur,66.0755,-23.124,278.17,70,75,7.2,IS,Mon Oct  2 10:52:07 2023
116,pitkyaranta,61.5734,31.4792,281.77,89,44,2.0,RU,Mon Oct  2 10:52:08 2023
117,praia da vitoria,38.7333,-27.0667,295.79,68,40,5.25,PT,Mon Oct  2 10:52:08 2023
118,zhosaly,45.4878,64.0781,290.78,35,0,3.03,KZ,Mon Oct  2 10:52:08 2023
119,iskateley,67.6803,53.1512,280.38,92,100,6.71,RU,Mon Oct  2 10:52:08 2023
120,hadibu,12.65,54.0333,300.83,77,73,0.82,YE,Mon Oct  2 10:52:08 2023
121,cumnock,55.4544,-4.2664,288.48,80,100,4.92,GB,Mon Oct  2 10:52:08 2023
122,leme,-22.1856,-47.3903,299.96,59,82,2.77,BR,Mon Oct  2 10:52:08 2023
123,katsuren-haebaru,26.3369,127.8719,300.58,96,40,7.2,JP,Mon Oct  2 10:52:08 2023
124,puerto madryn,-42.7692,-65.0385,288.04,56,100,7.12,AR,Mon Oct  2 10:48:30 2023
125,margaret river,-33.95,115.0667,285.98,61,100,8.46,AU,Mon Oct  2 10:52:09 2023
126,san antonio de pale,-1.4014,5.6325,298.45,86,100,6.01,GQ,Mon Oct  2 10:52:09 2023
127,holualoa,19.6228,-155.9522,295.06,79,0,3.13,US,Mon Oct  2 10:52:09 2023
128,vadso,70.0744,29.7487,277.64,81,75,3.6,NO,Mon Oct  2 10:52:09 2023
129,saldanha,-33.0117,17.9442,296.18,68,0,7.48,ZA,Mon Oct  2 10:52:09 2023
130,qaqortoq,60.7167,-46.0333,279.21,49,99,1.7,GL,Mon Oct  2 10:52:09 2023
131,ola,59.5833,151.2833,279.49,78,18,4.89,RU,Mon Oct  2 10:52:09 2023
132,quelimane,-17.8786,36.8883,297.03,81,47,5.27,MZ,Mon Oct  2 10:52:09 2023
133,kodiak,57.79,-152.4072,279.88,81,100,7.2,US,Mon Oct  2 10:52:09 2023
134,weno,7.4515,151.8468,300.12,89,100,2.06,FM,Mon Oct  2 10:52:10 2023
135,atafu village,-8.5421,-172.5159,301.21,74,12,1.84,TK,Mon Oct  2 10:52:10 2023
136,kabo,7.6994,18.629,300.94,76,91,0.95,CF,Mon Oct  2 10:52:10 2023
